(366, -79)
(152, -376)
(337, 151)
(-100, -323)
(334, 313)
(80, -33)
(-313, 326)
(31, -382)
(-356, 393)
(341, -277)
(40, -360)
(-183, 192)
(86, 33)
(399, 136)
(299, 95)
(92, 47)
(228, 137)
(-96, -271)
(-2, 215)
(138, -34)
(346, 285)
(-323, 207)
(204, -189)
(149, 115)
(327, 302)
(194, 11)
(-39, 12)
(74, 279)
(101, -295)
(190, 52)
(-399, 295)
(-219, 301)
(-71, 284)
(-130, -301)
(261, 97)
(340, 156)
(-10, -282)
(-177, 163)
(-267, -362)
(-74, 164)
(-230, -378)
(26, -313)
(-276, 255)
(5, 158)
(-136, -143)
(-156, 240)
(346, 310)
(-144, 262)
(-43, -96)
(230, -322)
(-24, 259)
(-382, 354)
(-374, 113)
(-376, 241)
(-366, -278)
(-271, 318)
(34, -147)
(-57, 305)
(-290, 343)
(-396, 291)
