S1 : 0 -> 98 : FROM START TO END
S2 : 48 -> 86 : FROM S1 TO S1
S3 : 74 -> 86 : FROM S2 TO S1
S4 : 68 -> 76 : FROM S1 TO S1
S5 : 3 -> 38 : FROM S1 TO S1
S6 : 12 -> 84 : FROM S1 TO S2
S7 : 69 -> 71 : FROM S4 TO S2
S8 : 85 -> 96 : FROM S1 TO S1
S9 : 61 -> 80 : FROM S1 TO S6
S10 : 6 -> 37 : FROM S1 TO S1
S11 : 70 -> 89 : FROM S7 TO S8
S12 : 74 -> 89 : FROM S9 TO S8
S13 : 82 -> 89 : FROM S3 TO S1
S14 : 88 -> 90 : FROM S8 TO S1
S15 : 37 -> 84 : FROM S1 TO S13
S16 : 71 -> 78 : FROM S4 TO S2
S17 : 7 -> 15 : FROM S10 TO S1
S18 : 79 -> 84 : FROM S9 TO S1
S19 : 81 -> 87 : FROM S18 TO S11
S20 : 22 -> 48 : FROM S1 TO S1
S21 : 27 -> 87 : FROM S10 TO S12
S22 : 74 -> 96 : FROM S9 TO S1
S23 : 79 -> 88 : FROM S9 TO S13
S24 : 69 -> 84 : FROM S21 TO S23
S25 : 22 -> 78 : FROM S1 TO S1
S26 : 27 -> 38 : FROM S6 TO S20
S27 : 87 -> 92 : FROM S23 TO S22
S28 : 24 -> 38 : FROM S1 TO S15
S29 : 4 -> 25 : FROM S1 TO S10
S30 : 18 -> 73 : FROM S1 TO S16
S31 : 89 -> 93 : FROM S14 TO S1
S32 : 95 -> 97 : FROM S8 TO S1
S33 : 78 -> 93 : FROM S12 TO S22
S34 : 71 -> 90 : FROM S25 TO S31
S35 : 18 -> 62 : FROM S1 TO S21
S36 : 53 -> 70 : FROM S35 TO S6
S37 : 89 -> 91 : FROM S14 TO S8
S38 : 80 -> 92 : FROM S11 TO S1
S39 : 9 -> 14 : FROM S17 TO S10
S40 : 38 -> 89 : FROM S1 TO S22
S41 : 60 -> 89 : FROM S36 TO S38
S42 : 82 -> 84 : FROM S19 TO S2
S43 : 80 -> 93 : FROM S12 TO S1
S44 : 18 -> 25 : FROM S29 TO S1
S45 : 14 -> 48 : FROM S1 TO S40
S46 : 73 -> 90 : FROM S9 TO S38
S47 : 88 -> 95 : FROM S46 TO S1
S48 : 89 -> 93 : FROM S14 TO S8
S49 : 87 -> 94 : FROM S23 TO S1
S50 : 12 -> 25 : FROM S1 TO S45
S51 : 23 -> 50 : FROM S30 TO S21
S52 : 90 -> 96 : FROM S33 TO S1
S53 : 84 -> 88 : FROM S34 TO S34
S54 : 63 -> 75 : FROM S25 TO S9
S55 : 28 -> 38 : FROM S1 TO S30
S56 : 29 -> 49 : FROM S26 TO S25
S57 : 90 -> 92 : FROM S47 TO S33
S58 : 51 -> 66 : FROM S35 TO S6
S59 : 81 -> 90 : FROM S33 TO S47
S60 : 35 -> 69 : FROM S1 TO S41
S61 : 91 -> 97 : FROM S43 TO S1
S62 : 8 -> 79 : FROM S10 TO S3
S63 : 35 -> 82 : FROM S45 TO S23
S64 : 90 -> 95 : FROM S37 TO S8
S65 : 24 -> 45 : FROM S1 TO S30
S66 : 90 -> 94 : FROM S48 TO S47
S67 : 68 -> 75 : FROM S54 TO S1
S68 : 93 -> 96 : FROM S64 TO S32
S69 : 75 -> 88 : FROM S24 TO S11
S70 : 4 -> 19 : FROM S1 TO S30
S71 : 84 -> 91 : FROM S19 TO S8
S72 : 84 -> 88 : FROM S19 TO S59
S73 : 87 -> 91 : FROM S72 TO S48
S74 : 73 -> 94 : FROM S54 TO S61
S75 : 13 -> 69 : FROM S1 TO S41
S76 : 70 -> 85 : FROM S67 TO S41
S77 : 83 -> 92 : FROM S43 TO S74
S78 : 18 -> 55 : FROM S10 TO S30
S79 : 94 -> 97 : FROM S61 TO S1
S80 : 27 -> 40 : FROM S1 TO S40
S81 : 73 -> 91 : FROM S15 TO S77
S82 : 36 -> 76 : FROM S55 TO S2
S83 : 37 -> 50 : FROM S82 TO S2
S84 : 60 -> 69 : FROM S58 TO S54
S85 : 12 -> 83 : FROM S1 TO S33
S86 : 73 -> 80 : FROM S9 TO S23
S87 : 80 -> 95 : FROM S41 TO S22
S88 : 65 -> 72 : FROM S9 TO S11
S89 : 35 -> 64 : FROM S65 TO S21
S90 : 24 -> 89 : FROM S1 TO S46
S91 : 85 -> 94 : FROM S38 TO S68
S92 : 83 -> 91 : FROM S42 TO S49
S93 : 81 -> 89 : FROM S2 TO S49
S94 : 23 -> 82 : FROM S78 TO S15
S95 : 3 -> 18 : FROM S1 TO S5
S96 : 86 -> 88 : FROM S13 TO S93
S97 : 94 -> 97 : FROM S68 TO S1
S98 : 23 -> 88 : FROM S20 TO S8
S99 : 53 -> 82 : FROM S94 TO S87
S100 : 8 -> 15 : FROM S1 TO S6
S101 : 14 -> 76 : FROM S29 TO S9
S102 : 80 -> 93 : FROM S41 TO S87
S103 : 38 -> 55 : FROM S65 TO S30
S104 : 43 -> 62 : FROM S89 TO S84
S105 : 18 -> 39 : FROM S1 TO S82
S106 : 84 -> 95 : FROM S13 TO S52
S107 : 34 -> 75 : FROM S56 TO S62
S108 : 87 -> 91 : FROM S96 TO S49
S109 : 83 -> 92 : FROM S42 TO S33
S110 : 7 -> 39 : FROM S1 TO S82
S111 : 95 -> 97 : FROM S97 TO S1
S112 : 32 -> 48 : FROM S75 TO S75
S113 : 86 -> 97 : FROM S72 TO S1
S114 : 77 -> 79 : FROM S25 TO S11
S115 : 10 -> 35 : FROM S1 TO S26
S116 : 92 -> 97 : FROM S49 TO S1
S117 : 87 -> 91 : FROM S23 TO S113
S118 : 85 -> 97 : FROM S59 TO S1
S119 : 88 -> 95 : FROM S108 TO S118
S120 : 22 -> 33 : FROM S1 TO S28
S121 : 75 -> 86 : FROM S41 TO S81
S122 : 95 -> 97 : FROM S68 TO S1
S123 : 59 -> 70 : FROM S6 TO S9
S124 : 92 -> 95 : FROM S48 TO S118
S125 : 14 -> 93 : FROM S1 TO S52
S126 : 85 -> 95 : FROM S72 TO S97
S127 : 33 -> 40 : FROM S28 TO S63
S128 : 11 -> 94 : FROM S110 TO S106
S129 : 10 -> 48 : FROM S17 TO S104
S130 : 20 -> 38 : FROM S1 TO S127
S131 : 89 -> 95 : FROM S102 TO S79
S132 : 94 -> 97 : FROM S131 TO S1
S133 : 12 -> 46 : FROM S1 TO S128
S134 : 82 -> 91 : FROM S23 TO S47
S135 : 24 -> 63 : FROM S1 TO S123
S136 : 86 -> 94 : FROM S43 TO S116
S137 : 67 -> 70 : FROM S128 TO S15
S138 : 92 -> 94 : FROM S64 TO S116
S139 : 68 -> 77 : FROM S84 TO S21
S140 : 13 -> 71 : FROM S1 TO S63
S141 : 74 -> 93 : FROM S98 TO S138
S142 : 90 -> 94 : FROM S131 TO S119
S143 : 86 -> 95 : FROM S53 TO S1
S144 : 38 -> 58 : FROM S94 TO S2
S145 : 35 -> 55 : FROM S1 TO S6
S146 : 91 -> 97 : FROM S57 TO S1
S147 : 66 -> 79 : FROM S63 TO S141
S148 : 29 -> 38 : FROM S78 TO S107
S149 : 80 -> 88 : FROM S41 TO S33
S150 : 4 -> 37 : FROM S1 TO S85

Possible Moves : 1, 2, 3, 4, 5
